tier,question,trial,final_answer,diagnosis,num_rag_calls,elapsed_sec
1-hop,2024년 삼성전자 매출액이 얼마야?,1,2024년 삼성전자 매출액은 300조 8709억원입니다.,성공,1,56.0
1-hop,2024년 삼성전자 매출액이 얼마야?,2,삼성전자의 2024년 매출액은 300조 8709억원입니다.,성공,1,45.0
1-hop,2024년 삼성전자 매출액이 얼마야?,3,삼성전자의 2024년 매출액은 300조 8709억원입니다.,성공,1,45.0
1-hop,2024년 삼성전자 매출액이 얼마야?,4,삼성전자의 2024년 매출액은 300조 8709억원입니다.,성공,1,46.3
1-hop,2024년 삼성전자 매출액이 얼마야?,5,2024년 삼성전자 매출액은 300조 8709억원입니다.,성공,1,44.4
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,1,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,2,80.1
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,2,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,1,47.5
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,3,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,1,46.1
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,4,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,1,47.3
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,5,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,1,47.3
1-hop,2024년 현대자동차 자산총계는?,1,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,46.5
1-hop,2024년 현대자동차 자산총계는?,2,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,46.3
1-hop,2024년 현대자동차 자산총계는?,3,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,46.6
1-hop,2024년 현대자동차 자산총계는?,4,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,48.0
1-hop,2024년 현대자동차 자산총계는?,5,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,46.3
2hop_비교,삼성전자와 SK하이닉스 중 2024년 매출액이 더 큰 기업은?,1,"2024년 삼성전자 매출액이 더 큽니다. 삼성전자는 300조 8709억원이며, SK하이닉스는 66조 1929억원입니다.",성공,2,78.4
2hop_비교,삼성전자와 SK하이닉스 중 2024년 매출액이 더 큰 기업은?,2,2024년 삼성전자 매출액이 더 큽니다.,성공,2,73.3
2hop_비교,삼성전자와 SK하이닉스 중 2024년 매출액이 더 큰 기업은?,3,"삼성전자의 2024년 매출액이 300조 8709억원이므로, 삼성전자입니다.",성공,2,75.3
2hop_비교,삼성전자와 SK하이닉스 중 2024년 매출액이 더 큰 기업은?,4,"2024년 삼성전자 매출액이 더 큽니다. 삼성전자는 300조 8709억원이지만, SK하이닉스는 66조 1929억원입니다.",성공,2,78.5
2hop_비교,삼성전자와 SK하이닉스 중 2024년 매출액이 더 큰 기업은?,5,2024년 삼성전자 매출액이 66조 1929억원의 SK하이닉스보다 234조 6780억원 더 크다.,성공,2,78.8
2hop_비교,현대자동차와 NAVER 중 2023년 영업이익이 더 큰 기업은?,1,2023년 현대자동차의 영업이익인 15조 1269억원이 NAVER의 1조 4888억원을 훨씬 상회합니다. 따라서 2023년에는 현대자동차가 NAVER보다 영업이익이 더 큰 기업입니다.,성공,2,88.1
2hop_비교,현대자동차와 NAVER 중 2023년 영업이익이 더 큰 기업은?,2,2023년 현대자동차 영업이익이 NAVER보다 큽니다.,성공,2,73.1
2hop_비교,현대자동차와 NAVER 중 2023년 영업이익이 더 큰 기업은?,3,2023년 현대자동차의 영업이익이 NAVER보다 큽니다.,성공,2,75.0
2hop_비교,현대자동차와 NAVER 중 2023년 영업이익이 더 큰 기업은?,4,"2023년 현대자동차 영업이익이 NAVER보다 큽니다. 현대자동차의 2023년 영업이익은 15조 1269억원이고, NAVER의 2023년 영업이익은 1조 4888억원입니다.",성공,2,83.5
2hop_비교,현대자동차와 NAVER 중 2023년 영업이익이 더 큰 기업은?,5,"2023년 현대자동차 영업이익이 NAVER보다 큽니다. 현대차는 15조 1269억원이었고, NAVER은 1조 4888억원이었습니다.",성공,2,84.6
2hop_비교,LG에너지솔루션과 SK하이닉스 중 2024년 자산총계가 더 큰 기업은?,1,SK하이닉스의 2024년 자산총계인 119조 8552억원이 LG에너지솔루션의 2024년 자산총계인 60조 3067억원보다 크다.,성공,2,89.3
2hop_비교,LG에너지솔루션과 SK하이닉스 중 2024년 자산총계가 더 큰 기업은?,2,"2024년 SK하이닉스 자산총계인 119조 8552억원이 LG에너지솔루션의 2024년 자산총계인 60조 3067억원보다 크므로, SK하이닉스가 더 큰 기업입니다.",성공,2,95.4
2hop_비교,LG에너지솔루션과 SK하이닉스 중 2024년 자산총계가 더 큰 기업은?,3,SK하이닉스,성공,2,100.4
2hop_비교,LG에너지솔루션과 SK하이닉스 중 2024년 자산총계가 더 큰 기업은?,4,2024년 SK하이닉스 자산총계가 119조 8552억원으로 더 큽니다.,성공,2,84.4
2hop_비교,LG에너지솔루션과 SK하이닉스 중 2024년 자산총계가 더 큰 기업은?,5,SK하이닉스의 2024년 자산총계인 119조 8552억원이 LG에너지솔루션의 2024년 자산총계인 60조 3067억원보다 크다.,성공,2,92.1
2hop_계산,현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,1,현대자동차의 2024년 영업이익은 전년 대비 3.52% 감소했습니다. (전년 동기 대비 15조 1269억에서 14조 2395억원으로 감소),추론_실패,1,54.6
2hop_계산,현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,2,현대자동차의 2024년 영업이익은 전년 대비 약 5.37% 증가했습니다.,추론_실패,1,63.7
2hop_계산,현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,3,현대자동차의 2024년 영업이익은 전년 대비 약 43.72% 증가했습니다.,추론_실패,1,123.8
2hop_계산,현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,4,현대자동차의 2024년 영업이익은 전년 대비 약 5.88% 감소했습니다.,추론_실패,1,121.0
2hop_계산,현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,5,현대자동차 2024년 영업이익은 15조 1269억원에서 14조 2395억원으로 전년대비 약 7.8% 감소했습니다.,추론_실패,1,51.9
2hop_계산,삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,1,삼성전자의 2024년 매출액은 전년 대비 28.88% 증가했다.,추론_실패,1,119.2
2hop_계산,삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,2,삼성전자의 2024년 매출액은 전년 대비 42.0% 증가했습니다.,추론_실패,1,116.9
2hop_계산,삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,3,"삼성전자의 2024년 매출액은 300조 8709억원으로, 전년인 2023년의 258조 9354억원 대비 약 18.58% 증가했다.",추론_실패,1,57.3
2hop_계산,삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,4,삼성전자의 2024년 매출액은 전년 대비 약 16.22% 증가했습니다.,성공,1,138.6
2hop_계산,삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,5,삼성전자의 2024년 매출액은 전년 대비 16.78% 증가했습니다.,성공,1,121.9
2hop_계산,NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,1,NAVER의 2023년 영업이익은 2022년 대비 18.7% 증가했습니다. ( ((1조 9792억 - 1조 3046억) / 1조 3046억) * 100 = 18.7%),추론_실패,1,57.9
2hop_계산,NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,2,"NAVER의 2023년 영업이익은 1조 4888억원으로, 2022년 대비 1조 9792억 - 1조 4888억 = 4895억원 증가한 14888억원입니다. 증가율은 (4895 / 14888) * 100% = 약 32.6% 증가했습니다.",추론_실패,1,61.1
2hop_계산,NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,3,NAVER의 2023년 영업이익은 전년 대비 18.79% 증가했습니다. ( ((1조 9792억 - 1조 4888억) / 1조 4888억) * 100 = 18.79%),추론_실패,1,56.3
2hop_계산,NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,4,"NAVER의 2023년 영업이익은 1조 4888억원으로, 전년 대비 12.6% 증가했습니다. (계산: ((1조 9792억원 - 1조 3046억원) / 1조 3046억원) * 100 = 12.6%)",추론_실패,1,57.8
2hop_계산,NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,5,"NAVER의 2023년 영업이익은 1조 4888억원에서 1조 9792억원으로, 전년대비 32.52% 증가했습니다.",추론_실패,1,51.0
